nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
GEMOZAC 03/07/22 C1,15 000E,2 600m,Pour 5 ans n'ayant pas gagne 39.000. - Recul de 25 m. a  20.000. ,Attele,Volte
GEMOZAC 03/07/22 C3,15 000E,2 600m,Course F Pour 6 ans n'ayant pas gagne 69.000. - Recul de 25 m. a  34.500. ,Attele,Volte
GEMOZAC 03/07/22 C5,13 000E,2 600m,Pour 4 ans n'ayant pas gagne 10.000. - Recul de 25 m. a  3.300. ,Attele,Volte
GEMOZAC 03/07/22 C7,5 000E,2 600m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 61.000. - Recul de 25 m. a  32.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C1,12 000E,2 500m,Pour 3 ans n'ayant pas gagne 2.300. - Recul de 25 m. a  400. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C2,12 000E,2 500m,Pour 3 ans n'ayant pas gagne 2.300. - Recul de 25 m. a  400. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C3,12 000E,2 500m,Pour 3 ans n'ayant pas gagne 2.300. - Recul de 25 m. a  400. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C4,12 000E,3 100m,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 10.300. - Recul de 25 m. a  4.700. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C5,12 000E,3 100m,Pour pouliches de 4 ans n'ayant pas gagne 10.300. - Recul de 25 m. a  4.700. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C6,13 000E,3 100m,Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 35.000. - Recul de 25 m. a  18.000. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C7,15 000E,3 100m,Pour juments de 6 et 7 ans n'ayant pas gagne 77.000. - Recul de 25 m. a  37.000. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C8,18 000E,3 100m,Pour 6 a  9 ans inclus n'ayant pas gagne 106.000. - Recul de 25 m. a  52.000. ,Attele,Volte
CHINON - RICHELIEU 03/07/22 C9,5 000E,3 100m,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 75.000. - Recul de 25 m. a  38.000. ,Attele,Volte
KARUKERA (GUADELOUPE) 03/07/22 C7,4 000E,2 700m,Pour 6 a  15 ans inclus. - Recul de 25 m. aux chevaux ayant gagne une course aux Antilles depuis 12 mois de 50 m. a  ceux ayant gagne au moins deux courses aux Antilles depuis 12 mois. ,Attele,Volte
LAON 03/07/22 C1,13 000E,2 650m,  Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 10.700. ,Attele,Autostart
LAON 03/07/22 C2,13 000E,2 650m,  Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 10.700. ,Attele,Autostart
LAON 03/07/22 C3,13 000E,2 225m,Pour pouliches de 3 ans n'ayant pas gagne 2.600. ,Attele,Volte
LAON 03/07/22 C4,13 000E,2 225m,Pour pouliches de 3 ans n'ayant pas gagne 2.600. ,Attele,Volte
LAON 03/07/22 C5,13 000E,2 850m,Pour 4 ans n'ayant pas gagne 9.500. ,Monte,Volte
LAON 03/07/22 C6,22 000E,2 850m,Pour 7 ans n'ayant pas gagne 144.000. - Recul de 25 m. a  71.000. ,Attele,Volte
LAON 03/07/22 C7,13 000E,2 225m,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 2.600. ,Attele,Volte
LAON 03/07/22 C8,13 000E,2 225m,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 2.600. ,Attele,Volte
LAON 03/07/22 C9,14 000E,2 650m,  Pour pouliches de 4 ans n'ayant pas gagne 10.700. ,Attele,Autostart
