Nom,Prix,Distance,Mode course,Conditions,Depart
C8,14 000E,2 600m,Attele,TROPHEE VERT DES APPRENTIS 8eme epreuve du Trophee Vert Apprentis - lads-jockeys Pour 6 ans n'ayant pas gagne 77.000. - Recul de 25 m. a  39.000. ,Volt
C9,7 000E,2 600m,Attele,TROPHEE VERT DES AMATEURS 8eme etape du Trophee Vert Challenge UNAT NIDFE - FINNTACK Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 110.000 a  leur premiere participation au Trophee Vert des Amateurs en 2022. - Recul de 25 m. a  51.000 de 50 m. a  110.000. Sont seuls admis a  driver les amateurs membres de l'U.N.A.T. ayant gagne au moins deux courses ou ayant couru au moins vingt fois. En cas d'elimination seront maintenus partants en priorite en premier lieu tout gagnant (couple amateur/cheval) d'une etape cette annee en second lieu a  partir de la 5eme etape organisee cette annee les 5 premiers du classement (coupe amateur/cheval). ,Volt
C1,13 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 39.000. - Recul de 25 m. a  20.000. ,Volt
C2,13 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 39.000. - Recul de 25 m. a  20.000. ,Volt
C4,15 000E,2 600m,Attele,Course F Pour 6 ans n'ayant pas gagne 69.000. - Recul de 25 m. a  34.500. ,Volt
C5,13 000E,2 600m,Attele,Pour 4 ans n'ayant pas gagne 10.000. - Recul de 25 m. a  3.300. ,Volt
C6,13 000E,2 600m,Attele,Pour 4 ans n'ayant pas gagne 10.000. - Recul de 25 m. a  3.300. ,Volt
C8,5 000E,2 600m,Attele,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 61.000. - Recul de 25 m. a  32.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C1,13 000E,2 775m,Attele,Course F Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 19.000. - Recul de 25 m. a  8.500. ,Volt
C2,13 000E,2 775m,Attele,Course F Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 19.000. - Recul de 25 m. a  8.500. ,Volt
C3,14 000E,2 275m,Attele,Course F Course Nationale LeTROT Open des Regions - Anjou-Maine - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 5.600. ,Volt
C4,18 000E,2 775m,Attele,Course D Apprentis-lads-jockeys Pour 5 et 6 ans n'ayant pas gagne 83.000. - Recul de 25 m. a  41.000. ,Volt
C5,14 000E,2 775m,Attele,Course F Pour pouliches de 4 ans n'ayant pas gagne 19.000. - Recul de 25 m. a  8.500. ,Volt
C6,20 000E,2 775m,Attele,Course D Pour 6 et 7 ans n'ayant pas gagne 119.000. - Recul de 25 m. a  59.000. ,Volt
C7,4 000E,2 775m,Attele,Course G Challenge du Pays de Craon 3eme epreuve du Challenge Eliminatoire de la Coupe Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 94.000. - Recul de 25 m. a  47.000. En cas d'elimination les chevaux drives en 1er lieu par des personnes ayant participe aux 2 epreuves du Challenge disputees a  Senonnes le 1er mai et Meral le 15 mai puis ceux ayant participe a  l'une des deux epreuves du Challenge seront maintenus partants en priorite. ,Volt
C2,15 000E,2 600m,Attele,Course Nationale LeTROT Open des Regions - Anjou-Maine - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 9.500. - Recul de 25 m. a  4.400. ,Volt
C4,20 000E,3 150m,Attele,Pour 6 a  10 ans inclus n'ayant pas gagne 155.000. - Recul de 25 m. a  75.500. ,Volt
C6,20 000E,3 150m,Attele,Pour 6 ans n'ayant pas gagne 90.000. ,Volt
C7,14 000E,2 600m,Attele,Pour 4 ans n'ayant pas gagne 16.500. - Recul de 25 m. a  7.200. ,Volt
C1,12 000E,2 600m,Attele,Pour 3 ans n'ayant pas gagne 7.000. - Recul de 25 m. a  2.900. ,Volt
C2,13 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 44.000. - Recul de 25 m. a  22.000. ,Volt
C3,13 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 44.000. - Recul de 25 m. a  22.000. ,Volt
C4,15 000E,2 600m,Attele,Pour 6 ans n'ayant pas gagne 66.000. - Recul de 25 m. a  32.000. ,Volt
C5,13 000E,2 600m,Attele,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 13.200. - Recul de 25 m. a  5.800. ,Volt
C6,13 000E,2 600m,Attele,Pour pouliches de 4 ans n'ayant pas gagne 13.200. - Recul de 25 m. a  5.800. ,Volt
C7,15 000E,2 600m,Monte,Pour 6 et 7 ans n'ayant pas gagne 81.000. - Recul de 25 m. a  39.000. ,Volt
C8,5 000E,2 600m,Attele,Eliminatoire de la Coupe Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 73.000. - Recul de 25 m. a  36.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C1,12 000E,2 300m,Attele,Pour 3 ans n'ayant pas gagne 2.000. ,Volt
C2,13 000E,3 025m,Attele,Pour 4 ans n'ayant pas gagne 13.500. - Recul de 25 m. a  6.700. ,Volt
C3,13 000E,3 025m,Attele,Pour 4 ans n'ayant pas gagne 13.500. - Recul de 25 m. a  6.700. ,Volt
C4,10 000E,3 050m,Attele,Course "a reclamer" Pour 5 ans n'ayant pas gagne 55.000 a  reclamer pour 6.000 ou 10.000. - Avance de 25 m. aux chevaux a  reclamer pour 6.000. ,Volt
C5,16 000E,3 025m,Attele,Apprentis - lads-jockeys Pour 6 a  9 ans inclus n'ayant pas gagne 122.000. - Recul de 25 m. a  62.000. ,Volt
C6,17 000E,3 025m,Attele,Pour 5 et 6 ans n'ayant pas gagne 63.000. - Recul de 25 m. a  31.500. ,Volt
C7,22 000E,3 025m,Attele,Pour 6 a  10 ans inclus n'ayant pas gagne 178.000. - Recul de 25 m. a  90.000. ,Volt
C8,5 000E,3 025m,Attele,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 88.000. - Recul de 25 m. a  45.000. ,Volt
C9,18 000E,3 025m,Monte,Pour 6 a  9 ans inclus n'ayant pas gagne 103.000. - Recul de 25 m. a  53.000. ,Volt
C1,12 000E,2 225m,Attele,Pour 3 ans n'ayant pas gagne 2.800. - Avance de 25 m. aux poulains et pouliches n'ayant jamais couru. ,Volt
C2,12 000E,2 225m,Attele,Pour 3 ans n'ayant pas gagne 2.800. - Avance de 25 m. aux poulains et pouliches n'ayant jamais couru. ,Volt
C3,20 000E,3 225m,Monte,Course "ap" Pour 6 a  9 ans inclus n'ayant pas gagne 123.000. ,Volt
C4,14 000E,3 200m,Attele,Apprentis-lads-jockeys Pour chevaux entiers et hongres de 6 et 7 ans n'ayant pas gagne 77.000. - Recul de 25 m. a  37.000. ,Volt
